backtrace	150000	1	0.13	0.10	0.02	0.02	AB
backtrace	150000	2	0.13	0.09	0.02	0.02	BA
backtrace	150000	3	0.12	0.09	0.02	0.02	AB
backtrace	150000	4	0.13	0.09	0.02	0.02	BA
backtrace	150000	5	0.12	0.09	0.02	0.02	AB
objdropdef	3000000	1	3.09	3.10	0.02	0.03	AB
objdropdef	3000000	2	3.09	3.11	0.02	0.03	BA
objdropdef	3000000	3	3.10	3.08	0.02	0.03	AB
objdropdef	3000000	4	3.09	3.09	0.02	0.03	BA
objdropdef	3000000	5	3.10	3.12	0.02	0.03	AB
objchurn	3000000	1	3.56	3.54	0.02	0.03	AB
objchurn	3000000	2	3.54	3.54	0.02	0.03	BA
objchurn	3000000	3	3.54	3.53	0.02	0.03	AB
objchurn	3000000	4	3.57	3.56	0.02	0.03	BA
objchurn	3000000	5	3.56	3.54	0.02	0.03	AB
objdatains	3000000	1	2.92	2.89	0.02	0.02	AB
objdatains	3000000	2	2.90	2.89	0.02	0.02	BA
objdatains	3000000	3	2.90	2.93	0.02	0.02	AB
objdatains	3000000	4	2.90	2.89	0.02	0.02	BA
objdatains	3000000	5	2.91	2.91	0.02	0.02	AB
objalloc	3000000	1	2.42	2.43	0.03	0.03	AB
objalloc	3000000	2	2.41	2.44	0.03	0.03	BA
objalloc	3000000	3	2.42	2.42	0.03	0.03	AB
objalloc	3000000	4	2.42	2.46	0.03	0.03	BA
objalloc	3000000	5	2.43	2.43	0.03	0.03	AB
objallocni	3000000	1	2.21	2.22	0.03	0.03	AB
objallocni	3000000	2	2.22	2.21	0.03	0.03	BA
objallocni	3000000	3	2.20	2.22	0.03	0.03	AB
objallocni	3000000	4	2.21	2.21	0.03	0.03	BA
objallocni	3000000	5	2.22	2.22	0.03	0.03	AB
objmap	3000000	1	0.37	0.37	0.02	0.03	AB
objmap	3000000	2	0.37	0.37	0.02	0.03	BA
objmap	3000000	3	0.38	0.38	0.02	0.03	AB
objmap	3000000	4	0.37	0.37	0.02	0.03	BA
objmap	3000000	5	0.38	0.37	0.02	0.03	AB
arith	150000000	1	7.17	7.12	0.03	0.02	AB
arith	150000000	2	7.15	7.15	0.03	0.02	BA
arith	150000000	3	7.14	7.10	0.03	0.02	AB
arith	150000000	4	7.13	7.18	0.03	0.02	BA
arith	150000000	5	7.12	7.11	0.03	0.02	AB
prop	90000000	1	7.02	7.05	0.02	0.02	AB
prop	90000000	2	7.02	7.02	0.02	0.02	BA
prop	90000000	3	7.02	7.04	0.02	0.02	AB
prop	90000000	4	7.02	7.05	0.02	0.02	BA
prop	90000000	5	7.03	7.01	0.02	0.02	AB
calls	60000000	1	6.42	6.38	0.02	0.03	AB
calls	60000000	2	6.37	6.40	0.02	0.03	BA
calls	60000000	3	6.40	6.40	0.02	0.03	AB
calls	60000000	4	6.40	6.40	0.02	0.03	BA
calls	60000000	5	6.39	6.40	0.02	0.03	AB
str	28000000	1	4.48	4.43	0.03	0.02	AB
str	28000000	2	4.50	4.44	0.03	0.02	BA
str	28000000	3	4.47	4.44	0.03	0.02	AB
str	28000000	4	4.51	4.45	0.03	0.02	BA
str	28000000	5	4.45	4.46	0.03	0.02	AB
arr	30000000	1	4.58	4.68	0.02	0.02	AB
arr	30000000	2	4.57	4.61	0.02	0.02	BA
arr	30000000	3	4.52	4.59	0.02	0.02	AB
arr	30000000	4	4.53	4.61	0.02	0.02	BA
arr	30000000	5	4.52	4.58	0.02	0.02	AB
re	12000000	1	5.50	5.53	0.03	0.03	AB
re	12000000	2	5.54	5.47	0.03	0.03	BA
re	12000000	3	5.53	5.53	0.03	0.03	AB
re	12000000	4	5.53	5.51	0.03	0.03	BA
re	12000000	5	5.51	5.49	0.03	0.03	AB
