mc2	20000000	1	3.42	3.06	0.02	0.03	AB
mc2	20000000	2	3.43	3.06	0.02	0.03	BA
mc2	20000000	3	3.46	3.06	0.02	0.03	AB
missload	10000000	1	2.81	2.89	0.02	0.02	AB
missload	10000000	2	2.81	2.88	0.02	0.02	BA
missload	10000000	3	2.80	2.89	0.02	0.02	AB
arrload	10000000	1	2.96	3.03	0.02	0.03	AB
arrload	10000000	2	2.94	3.04	0.02	0.03	BA
arrload	10000000	3	2.97	3.04	0.02	0.03	AB
strmap	10000000	1	1.04	1.05	0.02	0.03	AB
strmap	10000000	2	1.03	1.04	0.02	0.03	BA
strmap	10000000	3	1.05	1.06	0.02	0.03	AB
arrfilter	10000000	1	1.79	1.83	0.02	0.02	AB
arrfilter	10000000	2	1.79	1.82	0.02	0.02	BA
arrfilter	10000000	3	1.80	1.83	0.02	0.02	AB
arrmap	10000000	1	1.16	1.16	0.02	0.02	AB
arrmap	10000000	2	1.16	1.17	0.02	0.02	BA
