mc2	20000000	1	3.42	3.10	0.02	0.02	AB
mc2	20000000	2	3.44	3.14	0.02	0.02	BA
mc2	20000000	3	3.40	3.09	0.02	0.02	AB
missload	10000000	1	2.79	2.87	0.02	0.02	AB
missload	10000000	2	2.84	2.85	0.02	0.02	BA
missload	10000000	3	2.80	2.84	0.02	0.02	AB
arrload	10000000	1	2.96	3.01	0.03	0.02	AB
arrload	10000000	2	2.95	3.02	0.03	0.02	BA
arrload	10000000	3	2.96	3.01	0.03	0.02	AB
strmap	10000000	1	1.04	1.04	0.02	0.02	AB
strmap	10000000	2	1.02	1.03	0.02	0.02	BA
strmap	10000000	3	1.02	1.04	0.02	0.02	AB
arrfilter	10000000	1	1.79	1.83	0.03	0.02	AB
arrfilter	10000000	2	1.80	1.84	0.03	0.02	BA
arrfilter	10000000	3	1.79	1.86	0.03	0.02	AB
arrmap	10000000	1	1.16	1.17	0.02	0.02	AB
arrmap	10000000	2	1.16	1.17	0.02	0.02	BA
arrmap	10000000	3	1.16	1.18	0.02	0.02	AB
refl	10000000	1	3.58	3.49	0.02	0.02	AB
refl	10000000	2	3.61	3.51	0.02	0.02	BA
refl	10000000	3	3.56	3.51	0.02	0.02	AB
hostargs	10000000	1	1.99	1.99	0.03	0.02	AB
hostargs	10000000	2	2.00	1.99	0.03	0.02	BA
hostargs	10000000	3	1.98	1.99	0.03	0.02	AB
backtrace	2400000	1	1.10	1.11	0.02	0.03	AB
backtrace	2400000	2	1.10	1.11	0.02	0.03	BA
backtrace	2400000	3	1.12	1.12	0.02	0.03	AB
objdropdef	3000000	1	3.08	3.09	0.03	0.03	AB
objdropdef	3000000	2	3.09	3.08	0.03	0.03	BA
objdropdef	3000000	3	3.08	3.08	0.03	0.03	AB
objchurn	3000000	1	3.56	3.57	0.02	0.02	AB
objchurn	3000000	2	3.55	3.59	0.02	0.02	BA
objchurn	3000000	3	3.55	3.61	0.02	0.02	AB
objdatains	3000000	1	2.90	2.90	0.03	0.02	AB
objdatains	3000000	2	2.89	2.89	0.03	0.02	BA
objdatains	3000000	3	2.89	2.89	0.03	0.02	AB
objalloc	3000000	1	2.40	2.41	0.02	0.02	AB
objalloc	3000000	2	2.44	2.41	0.02	0.02	BA
objalloc	3000000	3	2.41	2.43	0.02	0.02	AB
objallocni	3000000	1	2.23	2.22	0.02	0.02	AB
objallocni	3000000	2	2.22	2.20	0.02	0.02	BA
objallocni	3000000	3	2.24	2.22	0.02	0.02	AB
objmap	3000000	1	0.37	0.38	0.02	0.02	AB
objmap	3000000	2	0.38	0.38	0.02	0.02	BA
objmap	3000000	3	0.37	0.38	0.02	0.02	AB
arith	150000000	1	7.00	7.01	0.03	0.02	AB
arith	150000000	2	7.02	6.96	0.03	0.02	BA
arith	150000000	3	7.05	6.98	0.03	0.02	AB
prop	90000000	1	7.00	7.12	0.02	0.02	AB
prop	90000000	2	6.98	7.10	0.02	0.02	BA
prop	90000000	3	6.98	7.16	0.02	0.02	AB
calls	60000000	1	6.44	6.46	0.02	0.02	AB
calls	60000000	2	6.42	6.47	0.02	0.02	BA
calls	60000000	3	6.42	6.46	0.02	0.02	AB
str	28000000	1	4.43	4.41	0.02	0.02	AB
str	28000000	2	4.41	4.40	0.02	0.02	BA
str	28000000	3	4.42	4.42	0.02	0.02	AB
arr	30000000	1	4.53	4.50	0.02	0.03	AB
arr	30000000	2	4.52	4.49	0.02	0.03	BA
arr	30000000	3	4.51	4.55	0.02	0.03	AB
re	12000000	1	5.49	5.56	0.02	0.03	AB
re	12000000	2	5.49	5.54	0.02	0.03	BA
re	12000000	3	5.46	5.48	0.02	0.03	AB
